AMI #,Failure Scenarios,Description,Relevant Vulnerabilities ,Impacts,Potential Mitigations,NIST CSF Subcategory
1.0,Authorized Employee Issues Unauthorized Mass Remote Disconnect,"An employee within the utility having valid authorization, issues a “remote disconnect” command to a large number of meters. The employee may be bribed, disgruntled, or socially engineered",V1A) System permits potentially harmful command sequences such as a sufficiently large number of disconnects that may threaten system balance,"I1A) An instantaneous mass disconnect/reconnect over multiple feeders, if permitted by the system, could cause temporary blackouts due to circuit breaker trips until power on the grid can be rebalanced",M1A) Detect anomalous commands (anomalous disconnect and reconnect commands) not stemming from the normal Customer Information System (CIS) system,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed


"
,,,,I1B) A small number of disconnects could subvert the smart grid deployment and make the utility lose consumer confidence,M1B) Use Role-Based Access Control (RBAC) to limit who has access to sensitive functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M1C) Validate data to ensure reasonableness of changes,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
PR.IP-3: Configuration change control processes are in place"
,,,,,M1D) Generate alarms for changes to sensitive data,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,"M1E) Create audit logs to track who has made system configuration, software, or database additions or modifications","PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,,,"M1F) Require two-person rule for single transactions that initiate mass disconnects (e.g., substation feeder, all meters listening to a given aggregation point, geographic region, etc.)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,,,M1G) Limit events to no more than (n) number of disconnects (using any number of transactions) within a specified time period,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
,,,,,M1H) Require two-person rule for greater than (n) number of disconnects within a specified time,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,,,M1I) Cross check with the billing system to ensure the customer has the appropriate status before the disconnect command is issued,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity
"
2.0,Authorized Employee Manipulates MDMS Data to Over/Under Charge,"The Meter Data Management System (MDMS) is accessed by an employee (coerced or disgruntled) who selects a few accounts to overcharge or undercharge. This could be done by altering usage or pricing data. It may also be accomplished using malware. When the bills are paid, either the utility receives more or less revenue. An audit uncovering this activity could cause embarrassment or financial burden to the utility",V2A) System permits unauthorized changes to Meter Data Management System (MDMS) user billing data,I2A) Utility may be liable for mischarging customers,"M2A) Detect unusual patterns of energy usage (all utilities have some type of revenue protection scheme, but these may not be adequate)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
